"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|HU","Without sequence","189.09","",""
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|HU","Without sequence","218.9","",""
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|HU","Without sequence","208.96","",""
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|HU","Without sequence","165.06","",""
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|HU","Without sequence","170.09","",""
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|HU","Without sequence","189.04","",""
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|HU","Without sequence","225.55","",""
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|HU","Without sequence","257.35","",""
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|HU","Without sequence","253.65","",""
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|HU","Without sequence","242.94","",""
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|HU","Without sequence","238.42","",""
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|HU","Without sequence","214.02","",""
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|HU","Without sequence","215.88","",""
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|HU","Without sequence","203.8","",""
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|HU","Without sequence","196.23","",""
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|HU","Without sequence","191.85","",""
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|HU","Without sequence","195.91","",""
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|HU","Without sequence","186.66","",""
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|HU","Without sequence","178.04","",""
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|HU","Without sequence","191.65","",""
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|HU","Without sequence","237.44","",""
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|HU","Without sequence","299.95","",""
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|HU","Without sequence","313.92","",""
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|HU","Without sequence","315.0","",""
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|HU","Without sequence","310.41","",""
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|HU","Without sequence","310.08","",""
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|HU","Without sequence","300.0","",""
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|HU","Without sequence","297.01","",""
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|HU","Without sequence","299.96","",""
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|HU","Without sequence","306.45","",""
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|HU","Without sequence","302.73","",""
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|HU","Without sequence","315.47","",""
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|HU","Without sequence","310.82","",""
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|HU","Without sequence","294.98","",""
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|HU","Without sequence","267.45","",""
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|HU","Without sequence","242.23","",""
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|HU","Without sequence","217.03","",""
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|HU","Without sequence","195.83","",""
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|HU","Without sequence","210.34","",""
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|HU","Without sequence","202.42","",""
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|HU","Without sequence","197.6","",""
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|HU","Without sequence","193.0","",""
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|HU","Without sequence","194.9","",""
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|HU","Without sequence","204.45","",""
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|HU","Without sequence","237.13","",""
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|HU","Without sequence","293.52","",""
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|HU","Without sequence","300.02","",""
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|HU","Without sequence","297.16","",""
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|HU","Without sequence","275.67","",""
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","BZN|HU","Without sequence","264.4","",""
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","BZN|HU","Without sequence","252.59","",""
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","BZN|HU","Without sequence","248.38","",""
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","BZN|HU","Without sequence","255.01","",""
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","BZN|HU","Without sequence","277.9","",""
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","BZN|HU","Without sequence","289.94","",""
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","BZN|HU","Without sequence","316.4","",""
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","BZN|HU","Without sequence","315.9","",""
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","BZN|HU","Without sequence","309.2","",""
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","BZN|HU","Without sequence","285.33","",""
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","BZN|HU","Without sequence","245.3","",""
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","BZN|HU","Without sequence","236.61","",""
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","BZN|HU","Without sequence","204.57","",""
"12/01/2022 00:00:00 - 12/01/2022 01:00:00","BZN|HU","Without sequence","194.79","",""
"12/01/2022 01:00:00 - 12/01/2022 02:00:00","BZN|HU","Without sequence","183.98","",""
"12/01/2022 02:00:00 - 12/01/2022 03:00:00","BZN|HU","Without sequence","183.06","",""
"12/01/2022 03:00:00 - 12/01/2022 04:00:00","BZN|HU","Without sequence","177.35","",""
"12/01/2022 04:00:00 - 12/01/2022 05:00:00","BZN|HU","Without sequence","178.33","",""
"12/01/2022 05:00:00 - 12/01/2022 06:00:00","BZN|HU","Without sequence","193.5","",""
"12/01/2022 06:00:00 - 12/01/2022 07:00:00","BZN|HU","Without sequence","240.56","",""
"12/01/2022 07:00:00 - 12/01/2022 08:00:00","BZN|HU","Without sequence","273.18","",""
"12/01/2022 08:00:00 - 12/01/2022 09:00:00","BZN|HU","Without sequence","300.1","",""
"12/01/2022 09:00:00 - 12/01/2022 10:00:00","BZN|HU","Without sequence","292.74","",""
"12/01/2022 10:00:00 - 12/01/2022 11:00:00","BZN|HU","Without sequence","275.5","",""
"12/01/2022 11:00:00 - 12/01/2022 12:00:00","BZN|HU","Without sequence","258.65","",""
"12/01/2022 12:00:00 - 12/01/2022 13:00:00","BZN|HU","Without sequence","245.11","",""
